NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	277.032	69.601	66.613	60.703	0.438	0.682	20000.0
2	272.058	66.42	69.722	59.863	0.409	0.703	20000.0
3	269.722	66.792	65.667	59.96	0.409	0.685	20000.0
4	262.256	65.837	64.01	58.036	0.391	0.715	20000.0
5	264.091	67.569	66.372	59.869	0.427	0.695	20000.0
6	258.083	64.784	61.154	56.158	0.389	0.732	20000.0
7	257.486	63.22	66.187	57.328	0.384	0.731	30000.0
8	267.146	66.583	63.894	57.5	0.401	0.728	20000.0
9	269.954	67.246	68.426	59.606	0.415	0.701	20000.0
10	260.371	65.587	62.41	57.618	0.405	0.714	20000.0
11	268.428	66.612	65.332	57.774	0.411	0.72	20000.0
12	274.492	68.356	68.42	60.251	0.423	0.688	20000.0
13	264.126	65.954	65.184	57.886	0.408	0.718	20000.0
14	266.958	66.861	66.46	59.593	0.411	0.703	20000.0
15	265.861	66.185	63.37	58.108	0.396	0.708	20000.0
16	270.929	67.305	68.1	59.702	0.415	0.707	20000.0
17	272.12	68.126	65.884	58.4	0.415	0.714	20000.0
18	264.373	65.088	66.262	59.254	0.398	0.705	20000.0
19	272.347	68.209	63.752	57.914	0.407	0.713	20000.0
20	277.892	68.738	67.998	60.316	0.434	0.689	20000.0
21	266.88	67.499	65.425	58.629	0.415	0.704	20000.0
22	270.055	68.478	65.824	58.96	0.409	0.708	20000.0
23	265.124	65.536	65.76	58.62	0.411	0.705	20000.0
24	283.015	71.193	70.105	61.225	0.438	0.685	20000.0
25	264.398	65.554	67.312	58.191	0.394	0.72	20000.0
26	273.055	66.627	66.375	59.352	0.407	0.697	20000.0
27	270.534	67.283	66.132	58.956	0.418	0.708	20000.0
28	261.641	65.622	61.87	56.842	0.393	0.724	20000.0
29	265.72	65.701	63.858	58.13	0.408	0.71	20000.0
30	264.442	66.042	65.75	59.291	0.41	0.7	20000.0
31	277.208	69.635	66.908	59.672	0.423	0.695	20000.0
32	264.36	66.732	64.176	56.98	0.406	0.724	20000.0
33	267.908	66.292	68.276	60.908	0.419	0.686	20000.0
