# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-HC-8257-01A-11D-2259-01	-0.339000	0.276000
TCGA-EJ-7789-01A-11D-2112-01	-1.091000	2.219000
TCGA-KK-A59X-01A-11D-A323-01	-0.929000	0.100000
TCGA-CH-5788-01A-11D-1574-01	-0.882000	1.626000
TCGA-XK-AAJA-01A-11D-A41J-01	-0.243000	0.100000
TCGA-EJ-8469-01A-11D-2391-01	-0.882000	1.888000
TCGA-HC-A48F-01A-11D-A256-01	-0.994000	0.920000
TCGA-WW-A8ZI-01A-11D-A376-01	-1.053000	0.100000
TCGA-CH-5740-01A-11D-1574-01	-0.100000	0.100000
TCGA-M7-A724-01A-12D-A32A-01	-1.062000	1.787000
TCGA-HC-7742-01A-11D-2112-01	-0.710000	1.300000
TCGA-2A-A8W1-01A-11D-A376-01	-1.074000	1.017000
TCGA-CH-5791-01A-11D-1574-01	-0.769000	0.367000
TCGA-CH-5741-01A-11D-1574-01	-0.801000	0.100000
TCGA-XJ-A83F-01A-11D-A34T-01	-0.839000	0.100000
TCGA-CH-5789-01A-11D-1574-01	-0.100000	0.100000
TCGA-YJ-A8SW-01A-11D-A376-01	-0.954000	1.546000
TCGA-CH-5754-01A-11D-1574-01	-0.754000	0.834000
TCGA-EJ-5525-01A-01D-1574-01	-0.989000	1.735000
TCGA-J4-A67N-01A-11D-A30D-01	-0.861000	0.100000
TCGA-XJ-A9DX-01A-11D-A376-01	-0.860000	0.510000
TCGA-HC-7080-01A-11D-1959-01	-0.780000	0.100000
