NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	222.857	59.496	55.587	54.891	0.353	0.739	20000.0
2	226.251	60.507	57.713	54.608	0.353	0.745	20000.0
3	224.469	57.976	54.899	52.059	0.336	0.775	20000.0
4	226.504	60.003	58.92	54.887	0.348	0.755	20000.0
5	217.389	58.904	57.541	53.446	0.354	0.758	30000.0
6	227.19	60.634	59.104	54.48	0.361	0.751	20000.0
7	219.428	59.106	56.785	53.924	0.348	0.754	20000.0
8	216.791	58.163	54.845	53.278	0.337	0.767	20000.0
9	222.671	60.916	56.296	53.797	0.366	0.755	20000.0
10	227.437	59.824	57.313	54.483	0.332	0.754	20000.0
11	220.699	60.173	56.912	55.444	0.372	0.733	20000.0
12	216.683	58.127	56.2	53.015	0.327	0.767	20000.0
13	226.833	60.783	57.687	54.836	0.351	0.749	30000.0
14	218.941	58.488	57.162	53.953	0.355	0.754	20000.0
15	223.658	60.196	59.32	54.719	0.365	0.748	20000.0
16	213.121	57.432	55.927	52.769	0.327	0.767	20000.0
17	223.497	59.918	58.036	55.149	0.365	0.746	20000.0
18	208.634	55.318	51.728	50.854	0.316	0.781	20000.0
19	229.585	61.506	58.298	54.289	0.351	0.755	20000.0
20	218.086	58.946	56.567	53.104	0.337	0.771	20000.0
21	218.745	57.913	59.119	54.835	0.343	0.751	20000.0
22	228.486	60.754	58.144	54.723	0.361	0.746	20000.0
23	217.684	58.292	56.81	52.271	0.352	0.776	20000.0
24	213.267	57.577	54.515	52.297	0.336	0.767	20000.0
25	233.742	60.837	58.841	54.68	0.356	0.752	20000.0
26	214.956	58.068	54.894	51.995	0.349	0.775	20000.0
27	219.681	59.26	57.338	54.277	0.35	0.753	20000.0
28	221.585	59.443	57.684	54.439	0.356	0.753	20000.0
29	225.427	59.436	57.828	54.745	0.333	0.751	20000.0
30	222.181	60.954	55.816	53.661	0.355	0.753	20000.0
31	220.535	58.899	54.525	51.894	0.346	0.779	20000.0
32	211.583	58.167	53.593	51.91	0.352	0.77	20000.0
33	219.684	58.479	56.108	53.266	0.35	0.762	20000.0
34	220.778	58.355	58.122	55.011	0.358	0.75	20000.0
35	221.034	59.786	56.025	54.394	0.35	0.744	20000.0
36	228.89	60.857	56.948	54.803	0.349	0.74	20000.0
37	221.788	60.066	57.416	53.5	0.353	0.755	20000.0
38	218.562	58.007	56.989	52.924	0.337	0.773	20000.0
39	228.631	59.795	57.929	54.272	0.345	0.758	20000.0
40	216.469	59.27	56.639	54.506	0.358	0.753	20000.0
41	231.581	62.964	60.057	57.637	0.386	0.712	20000.0
42	217.372	59.046	57.517	54.519	0.362	0.746	20000.0
43	225.696	59.668	59.562	55.366	0.349	0.743	20000.0
44	228.82	61.776	57.754	54.848	0.381	0.742	20000.0
45	223.311	59.451	56.863	55.0	0.352	0.743	20000.0
46	224.154	58.987	58.837	55.663	0.348	0.74	20000.0
47	225.579	59.657	60.916	55.842	0.357	0.741	20000.0
48	205.148	57.02	53.984	52.717	0.328	0.769	20000.0
49	227.811	60.695	60.757	56.256	0.358	0.734	20000.0
50	232.073	61.503	59.209	55.537	0.375	0.734	20000.0
51	218.526	58.007	57.707	54.872	0.348	0.746	20000.0
52	230.916	61.15	60.084	54.506	0.351	0.755	20000.0
53	217.961	57.811	55.256	52.61	0.331	0.766	30000.0
54	220.695	59.826	56.9	54.897	0.349	0.746	20000.0
55	222.305	60.278	56.43	54.009	0.372	0.749	20000.0
56	229.542	60.14	60.601	55.793	0.351	0.748	20000.0
57	221.952	60.785	58.479	55.359	0.358	0.742	30000.0
58	225.567	60.961	58.497	56.259	0.364	0.731	20000.0
59	216.647	58.115	55.795	52.297	0.343	0.779	20000.0
60	213.468	56.764	54.751	52.22	0.343	0.77	20000.0
61	212.709	57.562	54.396	52.505	0.347	0.764	20000.0
62	232.809	61.725	59.955	57.333	0.379	0.724	20000.0
63	233.504	60.888	58.387	55.287	0.348	0.743	20000.0
64	226.204	60.672	54.997	53.929	0.346	0.751	20000.0
65	227.573	60.509	59.729	55.528	0.354	0.747	20000.0
66	212.985	57.997	54.104	51.776	0.34	0.772	20000.0
67	226.455	60.382	58.191	54.304	0.354	0.756	40000.0
68	221.282	59.907	55.362	53.602	0.368	0.747	20000.0
69	222.11	60.248	57.928	55.023	0.373	0.739	20000.0
70	224.024	60.608	56.524	54.671	0.359	0.744	20000.0
71	227.25	61.331	60.501	56.747	0.372	0.73	20000.0
72	228.978	61.381	58.527	55.252	0.368	0.743	20000.0
73	219.096	57.7	55.864	53.07	0.348	0.767	30000.0
74	223.551	60.524	57.074	55.159	0.353	0.744	20000.0
75	227.741	61.199	59.539	55.329	0.376	0.74	20000.0
76	221.494	59.403	58.414	54.717	0.36	0.751	20000.0
77	226.503	59.818	59.078	55.67	0.35	0.749	20000.0
78	217.883	60.092	55.775	55.192	0.359	0.741	20000.0
79	223.466	58.626	55.976	52.04	0.328	0.774	20000.0
80	228.758	61.453	57.616	55.174	0.362	0.743	20000.0
81	222.338	60.005	54.45	53.959	0.363	0.75	20000.0
82	221.137	57.843	54.983	52.459	0.33	0.771	20000.0
83	233.013	61.115	60.118	54.882	0.355	0.751	20000.0
84	212.291	55.225	53.912	50.39	0.311	0.789	20000.0
85	222.42	59.563	58.703	55.074	0.361	0.738	20000.0
86	226.641	60.745	59.092	55.374	0.357	0.745	20000.0
87	220.125	60.256	59.239	55.515	0.366	0.737	20000.0
88	232.37	61.081	61.643	55.697	0.351	0.746	20000.0
89	213.642	57.787	55.554	53.536	0.341	0.752	20000.0
90	224.152	59.54	57.548	55.463	0.35	0.737	20000.0
91	228.676	61.478	57.529	55.601	0.378	0.73	20000.0
92	217.85	58.068	54.856	52.802	0.341	0.764	20000.0
93	220.965	58.111	57.498	54.157	0.336	0.757	20000.0
94	218.27	58.976	54.441	53.017	0.352	0.757	20000.0
95	213.59	56.195	55.002	51.196	0.319	0.78	20000.0
96	220.453	59.093	57.014	54.569	0.342	0.753	20000.0
97	222.998	61.137	55.215	52.875	0.379	0.756	20000.0
